Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
61012001,UHE CAMARGOS MADRE DE DEUS DE MINAS,1,2230.0,61,MADRE DE DEUS DE MI,MINAS GERAIS,CEMIG CAMARGOS,CEMIG CAMARGOS,-21.4925,-44.3267,,RIO GRANDE,1965-10-01,,Ativo,Setor Elétrico,0
61013500,CGH ALAGOA 2 JUSANTE,1,179.0,61,ALAGOA,MINAS GERAIS,2 ENERGIA,2 ENERGIA,-22.2022,-44.6458,1121.0,RIO AIURUOCA,2025-05-01,,Ativo,Setor Elétrico,0
61014920,CGH ALAGOA III MONTANTE,1,172.0,61,ALAGOA,MINAS GERAIS,POLIFERTIL,POLIFERTIL,-22.2317,-44.6675,1223.0,RIO AIURUOCA,2021-06-01,,Ativo,Setor Elétrico,0
61024001,UHE CAMARGOS AIURUOCA,1,536.0,61,AIURUOCA,MINAS GERAIS,CEMIG CAMARGOS,CEMIG CAMARGOS,-21.9794,-44.6022,,RIO AIURUOCA,1924-08-01,,Ativo,Setor Elétrico,0
61031900,CGH BARULHO BARRAMENTO,1,49.3,61,LIBERDADE,MINAS GERAIS,NICKEL,NICKEL,-22.0056,-44.4064,1102.0,RIBEIRÃO DO BARULHO,2015-09-01,,Ativo,Setor Elétrico,0
61040000,CGH BARULHO JUSANTE,1,49.3,61,LIBERDADE,MINAS GERAIS,NICKEL,NICKEL,-21.9986,-44.4044,1055.0,RIBEIRÃO DO BARULHO,2015-09-01,,Ativo,Setor Elétrico,0
61060000,FAZENDA LARANJEIRAS,1,1960.0,61,ANDRELÂNDIA,MINAS GERAIS,ANA,IGAM-MG,-21.6889,-44.3508,905.0,RIO AIURUOCA,1934-09-01,,Ativo,RHN,0
61060001,UHE CAMARGOS FAZENDA LARANJEIRAS,1,2050.0,61,ANDRELÂNDIA,MINAS GERAIS,CEMIG CAMARGOS,CEMIG CAMARGOS,-21.6708,-44.3539,,RIO AIURUOCA,1963-06-01,,Ativo,Setor Elétrico,0
61061080,UHE CAMARGOS BARRAMENTO,1,6230.0,61,ITUTINGA,MINAS GERAIS,CEMIG CAMARGOS,CEMIG CAMARGOS,-21.325,-44.6161,917.0,RIO GRANDE,1998-07-01,,Ativo,Setor Elétrico,0
61065080,UHE ITUTINGA BARRAMENTO,1,,61,ITUTINGA,MINAS GERAIS,CEMIG ITUTINGA,CEMIG ITUTINGA,-21.2928,-44.6233,,RIO GRANDE,1983-06-01,,Ativo,Setor Elétrico,0
61065090,UHE ITUTINGA JUSANTE,1,,61,NAZARENO,MINAS GERAIS,CEMIG ITUTINGA,CEMIG ITUTINGA,-21.2842,-44.6336,,RIO GRANDE,1965-11-01,,Ativo,Setor Elétrico,0
61078500,UHE FUNIL ITUMIRIM JUSANTE,1,1820.0,61,ITUMIRIM,MINAS GERAIS,ALIANÇA,ALIANÇA,-21.3203,-44.87,,RIO CAPIVARI,1991-11-01,,Ativo,Setor Elétrico,0
