Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
13150003,COARI,1,1780000.0,13,COARI,AMAZONAS,ANA,SGB-CPRM,-4.0856,-63.0833,,RIO SOLIMÕES-AMAZONAS,1982-07-01,,Ativo,RHN,0
13169900,SANTA ROSA DO PURUS - SEDE,1,15917.0,13,SANTA ROSA DO PURUS,ACRE,ANA,ÁGUA E SOLO,-9.4342,-70.4942,,RIO PURUS,2016-10-01,,Ativo,RHN,0
13180000,MANOEL URBANO,1,32800.0,13,MANOEL URBANO,ACRE,ANA,SGB-CPRM,-8.8886,-69.275,,RIO PURUS,1981-09-01,,Ativo,RHN,0
13300000,SERINGAL SÃO JOSÉ,1,11200.0,13,SENA MADUREIRA,ACRE,ANA,SGB-CPRM,-9.3744,-68.7239,,RIO IACO,1981-09-01,,Ativo,RHN,0
13310000,SENA MADUREIRA,1,18000.0,13,SENA MADUREIRA,ACRE,ANA,SGB-CPRM,-9.0678,-68.6531,,RIO IACO,2005-10-01,,Ativo,RHN,0
13405000,SERINGAL GUARANY,1,6110.0,13,SENA MADUREIRA,ACRE,ANA,ÁGUA E SOLO,-9.1103,-68.9933,,RIO CAETÉ,1983-01-01,,Ativo,RHN,0
13410000,SERINGAL DA CARIDADE,1,63100.0,13,BOCA DO ACRE,AMAZONAS,ANA,SGB-CPRM,-9.0439,-68.5772,,RIO PURUS,1967-08-01,,Ativo,RHN,0
13439000,ALDEIA DOS PATOS,1,2100.0,13,ASSIS BRASIL,ACRE,SEMA-AC,SEMA-AC,-10.9261,-69.9233,256.0,RIO ACRE,2018-02-01,2023-02-01,Ativo,RHN,0
13445000,PONTE BRASIL-PERU,1,3760.0,13,ASSIS BRASIL,ACRE,ANA,SGB-CPRM,-10.9414,-69.5769,,RIO ACRE,,,Ativo,RHN,0
13470000,BRASILÉIA,1,7020.0,13,BRASILÉIA,ACRE,ANA,SGB-CPRM,-11.0178,-68.745,,RIO ACRE,1982-07-01,,Ativo,RHN,0
13540000,COLÔNIA DOLORES (XAPURI),1,3730.0,13,XAPURI,ACRE,ANA,SGB-CPRM,-10.5606,-68.7047,,RIO XAPURI,2013-08-01,,Ativo,RHN,0
13550000,XAPURI,1,8270.0,13,XAPURI,ACRE,ANA,SGB-CPRM,-10.6511,-68.5075,,RIO ACRE,1967-08-01,,Ativo,RHN,0
13568000,CAPIXABA (Colocação São José),1,15000.0,13,CAPIXABA,ACRE,ANA,SGB-CPRM,-10.3886,-67.9353,,RIO ACRE,2012-09-01,,Ativo,RHN,0
13572000,ESPALHA (Seringal Belo Horizonte),1,3210.0,13,RIO BRANCO,ACRE,ANA,SGB-CPRM,-10.005,-68.5294,,RIOZINHO DA ROLA ou RIO BRANCO,2012-09-01,,Ativo,RHN,0
13578000,RIO ROLA (Ramal do Barro Alto),1,6520.0,13,RIO BRANCO,ACRE,ANA,SGB-CPRM,-10.0567,-67.9639,,RIOZINHO DA ROLA ou RIO BRANCO,2012-09-01,,Ativo,RHN,0
13600002,RIO BRANCO,1,23500.0,13,RIO BRANCO,ACRE,ANA,SGB-CPRM,-9.975,-67.8008,,RIO ACRE,1967-08-01,,Ativo,RHN,0
13610001,PORTO ACRE,1,,13,PORTO ACRE,ACRE,SEMA-AC,SEMA-AC,-9.5819,-67.5281,134.0,RIO ACRE,2018-02-01,,Ativo,RHN,0
13650000,FLORIANO PEIXOTO,1,34400.0,13,BOCA DO ACRE,AMAZONAS,ANA,ÁGUA E SOLO,-9.0667,-67.3969,,RIO ACRE,1967-08-01,,Ativo,RHN,0
13710001,VALPARAÍSO - MONTANTE,1,105000.0,13,BOCA DO ACRE,AMAZONAS,ANA,ÁGUA E SOLO,-8.6533,-67.375,,RIO PURUS,1975-01-01,,Ativo,RHN,0
13870000,LÁBREA,1,226000.0,13,LÁBREA,AMAZONAS,ANA,ÁGUA E SOLO,-7.2581,-64.7975,60.0,RIO PURUS,1967-06-01,,Ativo,RHN,0
13885000,CRISTO,1,7030.0,13,LÁBREA,AMAZONAS,ANA,ÁGUA E SOLO,-7.4644,-64.2433,,RIO MUCUIM,1975-07-01,,Ativo,RHN,0
13962000,ARUMÃ - JUSANTE,1,366000.0,13,BERURI,AMAZONAS,ANA,SGB-CPRM,-4.7286,-62.1453,,RIO PURUS,1975-11-01,,Ativo,RHN,0
13990000,BERURI,1,377000.0,13,BERURI,AMAZONAS,ANA,SGB-CPRM,-3.8989,-61.3742,,RIO PURUS,1967-06-01,,Ativo,RHN,0
14000900,MITU AUTOMATICA,1,21500.0,14,MITU,COLÔMBIA,IDEAM-COLÔMBIA,IDEAM-COLÔMBIA,1.2594,-70.2389,,RIO VAUPÉS/UAUPÉS,1984-04-01,,Ativo,RHN,0
14110000,CUCUÍ,1,74300.0,14,SÃO GABRIEL DA CACH,AMAZONAS,ANA,SGB-CPRM,1.2153,-66.8525,,RIO NEGRO,1980-07-01,,Ativo,RHN,0
14235200,FAZENDA RECREIO,1,,14,BOA VISTA,RORAIMA,FEMARH-RR,FEMARH-RR,2.8642,-60.7517,,RIO CAUAMÉ,,,Ativo,RHN,0
14280001,TARAQUÁ,1,44300.0,14,SÃO GABRIEL DA CACH,AMAZONAS,ANA,SGB-CPRM,0.1303,-68.5386,,RIO VAUPÉS/UAUPÉS,1977-05-01,,Ativo,RHN,0
14330000,CURICURIARI,1,194000.0,14,SÃO GABRIEL DA CACH,AMAZONAS,ANA,SGB-CPRM,-0.2006,-66.8022,,RIO NEGRO,1977-11-01,,Ativo,RHN,0
14420000,SERRINHA,1,293000.0,14,SANTA IZABEL DO RIO,AMAZONAS,ANA,SGB-CPRM,-0.4819,-64.8289,,RIO NEGRO,1977-08-01,,Ativo,RHN,0
14480002,BARCELOS,1,379000.0,14,BARCELOS,AMAZONAS,ANA,SGB-CPRM,-0.9658,-62.9311,,RIO NEGRO,1967-11-01,,Ativo,RHN,0
14488000,UAICÁS,1,16100.0,14,ALTO ALEGRE,RORAIMA,ANA,SGB-CPRM,3.5497,-63.1692,,RIO URARICOERA,1984-05-01,,Ativo,RHN,0
14489000,MARACÁ,1,26700.0,14,ALTO ALEGRE,RORAIMA,ANA,SGB-CPRM,3.3528,-61.4222,,RIO URARICOERA,2005-11-01,,Ativo,RHN,0
14495000,FAZENDA CAJUPIRANGA,1,36900.0,14,ALTO ALEGRE,RORAIMA,ANA,SGB-CPRM,3.4381,-61.0367,,RIO URARICOERA,1979-09-01,,Ativo,RHN,0
14500000,MOCIDADE,1,43900.0,14,BOA VISTA,RORAIMA,ANA,SGB-CPRM,3.4644,-60.9097,,RIO URARICOERA,1975-10-01,,Ativo,RHN,0
14515000,FAZENDA PASSARÃO,1,50200.0,14,BOA VISTA,RORAIMA,ANA,SGB-CPRM,3.2078,-60.5711,,RIO URARICOERA,1977-05-01,,Ativo,RHN,0
